Referencia,NomArticulo
0018738,TRAJE GRIS MEDIO CUADROS+CHALECO
0018740,TRAJE AZUL MEDIO 2B+CHALECO
0019133,SACO NEGRO DOBLE PECHERA ACOLCHADA CN
0019153,SACO AZUL OSCURO JASPEADO OUTLET
0019773,CAMISA INF AZUL MEDIO RAY/DISEÑO CN
0019775,CAMISA RESORT AZUL MEDIO ESTAMPADO CN
0019792,CAMISA INF AZUL MED ESTAMPADA LAB
0019794,CAMISA INF AZUL MEDIO FLORES LAB
0020264,SMOKING 1 BT NEGRO LAB
0020288,ABRIGO CAMEL LAB
0020313,CHAQUETA PARKA GRIS MEDIO CN
0020315,CHAQUETA KHAKI LAB
0020868,CAMISA INFORMAL  ROJO CUADROS CN
0021508,CAMISA FORMAL BLANCA TRAVEL SLIM FIT
0022044,TENIS CAFÉ MEDIO CORDÓN CN
10780M,CAMISA INF BLANCO MICRO CN
10819,CHQ PARKA CN AZUL OSCURO
10868,SUET AB ROJO CUE NEH CREM
2699240,CHAQUETA INFORMAL GRIS  CN
2783830,PANTALON FORM CAFE BOLS REC LAB SLIM FIT
3103334,PANTALON INFORMAL GRIS CLAR  CN REGU FIT
3103438,PANTALON INFORMAL CAFE  CN REGULAR FIT
3106002,CAMISA INFORMAL AZUL INDIGO  CN
3113702,GUAYABERA BLANCO  PLATINO CN PLAT
3114140,PANTALON LINO ARENA  CN REGULAR FIT
3177439,CAMISA FOR DUO PU BOT PLAT RAY REFIT
3177739,CAMISA FORM ROSADO PUN BOT CN REGU FIT
3177740,CAMISA FORM ROSADO PUN BOT CN REGU FIT
3177943,CAMISA FORM LAVANDA PUN BOT CN REGU FIT
3178041,CAMISA FOR AZU PU BOT LABDIS SLI FIT
3221239,CAMISA FORM AZUL CLA PUN BOT CN REGU FIT
3221437,CAMISA FOR DUO PU BOT CN RAY AZU Y BLAN
3221439,CAMISA FOR DUO PU BOT CN RAY AZU Y BLAN
3221538,CAMISA FOR DUO PU BOT CN RAY BLAN/AZ
3221640,CAMISA FORM ROSADO PUN BOT CN REGU FIT
3247637,CAMISA FORM BLANCO PUN BOT LAB SLIM FIT
3247639,CAMISA FORM BLANCO PUN BOT LAB SLIM FIT
3247944,SACO INFORM BEIGE LANA CN LONG REGU FIT
3253140,SACO INF GRI OSC LANA CN CUA REFIT
3253340,SACO INFORMAL GRIS MEDIO 2 BOT CN
3253540,SACO INFORMAL AZUL MED LANA CN REGU FIT
3253542,SACO INFORMAL AZUL MED LANA CN REGU FIT
3274943,CAMISA FORMAL AZUL O PUNO BOTCN MICROD
3275138,CAMISA FORMAL BLANCO PUNO BOTON CN
3275539,CAMISA FOR AZ CLA PU BOT CN MICRDISEN
3275541,CAMISA FOR AZ CLA PU BOT CN MICRDISEN
3275641,CAMISA FORMAL AZUL MEDIO PUNO BOTON CN
3275739,CAMISA FOR BLAN PU BOT PLAT RAY AZES
3275740,CAMISA FOR BLAN PU BOT PLAT RAY AZES
3275838,CAMISA FORM BLANCO PUNO BOTON PLAT CUAD
3291742,SACO INFORMAL CAFE MED LANA CN CUAD
3291744,SACO INFORMAL CAFE MED LANA CN CUAD
3291746,SACO INFORMAL CAFE MED LANA CN CUAD
3291938,SACO INFORMAL COGNAC LANA CN
3292238,TRAJE AZUL O 2 BOT CN PROMOCION
3292343,TRAJE NEGRO 2 BOT CN PROMOCION
3292543,TRAJE GRIS OSCURO 2 BOT CN PROMOCION
3307002,CAMISA INFORMAL AZUL MED ALGODON CN RAY
3307004,CAMISA INFORMAL AZUL MED ALGODON CN RAY
3307502,CAMISA INFORM AZU ALGODON CN ESTAMPA
5981502,CAMISETA AZUL POLO CN
6473438,JEANS AZUL O  LAB SLIM FIT
6475909,MANCORNAS PLATEADA  CN SPAIN
6482540,PANTALON FORM AZUL MED LANA LAB SLIM FIT
6486504,POLO ROJO  CN
6553539,MOCACIN CEREMONIA NEGRO TERCIOPELO CN
6600038,TRAJE GRIS 2 BOT CN REGULAR FIT
6600741,CAMISA SMOKING BLANCO PUNO MANCORNA CN
6601132,PANTALON INFOR BEIGE ALG LAB SLIM FIT
6601134,PANTALON INFOR BEIGE ALG LAB SLIM FIT
6601232,PANTALON INF BEIGE ALGO CN REFIT
6602439,TRAJE GRIS OSCU 2 BOT PLAT RAY REGU FIT
6627444,SACO INF AZ MED POLYES LAB SLI FIT
6627640,TRAJE GRIS MED 2 BOT LAB DISEÐO SLIM FIT
6627642,TRAJE GRIS MED 2 BOT LAB DISEÐO SLIM FIT
6627842,SMOKING NEGRO UNIBOTON CN REGULAR FIT
6628038,SMOKING NEGRO UNIBOTON CN REGULAR FIT
6628340,SMOKING NEGRO UNIBOTON LAB SLIM FIT
6628342,SMOKING NEGRO UNIBOTON LAB SLIM FIT
6654538,TRAJE AZUL MED 2 BOT PLAT M.C DISEÐO
6655440,TRAJE GRIS MEDIO 2 BOT PLATINO
6655738,TRAJE GRIS MEDIO 2 BOT PLATINO
6656003,SUETER ABIER AZ CUE NERU CN CREM
6656102,SUETER ABIER GRI CLA CUE NERU CN CREM
6676838,SACO INFORMAL AZUL MEDIO LANA PLATINO
6676842,SACO INFORMAL AZUL MEDIO LANA PLATINO
6679139,BOTIN INFORMAL AZUL GAMUZA CN CORDON
6680701,TRAJE DE BANO ROSADO  CN DISEÐO
6680902,TRAJE DE BANO AZUL MEDIO  CN DISEÐO
0001050,TRAJE LAB GRIS MEDIO MICRO
0001052,TRAJE CN AZUL OSC MICRODISEÑO
0001057,TRAJE CN LONG NEGRO MICRODISEÑO
0011138,PAF CN CAFE MEDIO
0014114,ZAPATO FORMAL MIEL CUERO CORDON
0014126,TRAJE CN LONG LINO AZUL CLARO
0014127,TRAJE CN REG LINO AVENA
0014139,SAC REG ESENCIAL GRIS OSC JASPE
0014764,CORBATA JACQUARD MULTICOLORCN
0014783,CAM INF LINO CN RAYAS ANCHAS AZUL OSCURO
0014794,CAMISA BLANCA
0014797,CAM INFORMAL LAB BLANCO PRINT RAY TEXTO
0015334,HAWAI 59 CAMISA INFORMAL BOWLING MC
0015994,SUETER ABIERTO CUELLO NERHÙ ROJO OSC
0016114,TRAJE CN REG AZUL MED MICRO
0016115,TRAJE CN REG GRIS OSC MICRO
0016670,CORBATA FUCSIA RAYAS
0016698,CORBATA AZUL FLORES
0016701,CORBATA MORADA PUNTOS
0016704,CORBATA AZUL PUNTOS
0016708,CORBATA AZUL RAYAS
0016711,CORBATA AZUL PERROS
0016727,CORBATA ROJA RAYAS
0016742,PAÑUELO VERDE ARABESCOS
0016745,PAÑUELO AZUL FLORES
0017850,CHAQUETA NAPOLI MIEL
0017874,SUETER ABIERTO NERU AZUL OSCURO
0017907,CAMISA AZUL MEDIO RAYAS
0017908,CAMISA AZUL MEDIO PUNTOS
0018822,CAMISA INF AZUL/CAFE A CUADROS CN
0018825,ABRIGO AZUL OSC DOBLE PECH CN
0018831,TRAJE 2BOT GRIS OSC OUTLET CN
0018835,TRAJE 2BOT AZUL OSC OUTLET CN
0018848,ZAPATO FORMAL NEGRO CUERO
0018858,CACHUCHA VINOTINTO CN77
0018859,CACHUCHA AZUL OSCURO CN 77
0019305,BILLETERA NEGRO CN
0019310,CINTURON INF MIEL CUERO CN
0019912,TRAJE AZUL MEDIO 2BT REGULAR
0019920,CINTURON FORMAL REVERSIBLE NEGRO/MIEL
0020515,CAMISA INFORMAL MC AZUL OSCURO PUNTOS CN
0020545,CAMISA FORMAL LILA  CN
0020550,ZAPATO MOCASIN FORMAL  ANTIFAZ MIEL
0020556,SANDALIA CAFÉ REATA CREMA/AZUL CN
0021003,MOCASIN INF GAMUZA AZUL OSC CN
0021007,MOCASIN INF CAFE OSC CORDON TRENZA CN
0021066,SACO INF NEGRO GALLINETO LAB
0021069,SACO INF GRIS MEDIO CUADROS LAB
0021071,CAMISA PUÑO MANCORNA BLANCO MICRODIS CN
0021080,CAMISA FORMAL LILA ESENCIAL
0021081,CAMISA FORMAL MICRODIS AZUL MED ESENCIAL
0021717,CAMISA FORMAL BLANCA ESENCIAL REGULAR FI
0021718,CAMISA FORMAL SLIM FIT ESENCIAL
0021769,CAMISA INFOR BLANCA RAYAS AZUL/ROJO LAB
0021770,CAMISA INFORMAL BLANCA CUADROS AZUL CN
0022217,CAMISA FORMAL BLANCO CN
10887,ABRIGO CN DOB PECH GRIS JASP
10888,ABRIGO CN  DOB PECH AZUL OSC
10891,CHA CN BOMB AZUL OSC
10908,BERMUDA CN REG  AZUL
2877344,TRAJE LINO MARFIL 2 BOT CN REGULAR FIT
3120339,CAMISA FORM BLANCO PUN BOT CN REGU FIT
3121336,PANTALON INF AZ MED ALGO LAB SLI FIT
3124904,CAMISA INFORM AZU  PLAT ESTAMPA PLAT
3125003,CAMISA INF AZ MED  PLAT ESTAM PLAT
3125104,CAMISA INF AZ IND  PLAT ESTAM PLAT
3125502,CAMISA INFORMAL AVENA  PLAT ESTAMPA PLAT
3128037,CAMISA FOR BCO PUNO BOTLAB PUNTOS AZULES
3183441,CAMISA FOR BLAN PU BOT CN RAY MORADAS
3184003,CAMISA LINO  GRI CLA LINO CNDIS PTOS
3184004,CAMISA LINO  GRI CLA LINO CNDIS PTOS
3184104,CAMISA LINO  BLANCO LINO CN
3184202,CAMISA LINO  BLANCO LINO CN
3184302,CAMISA LINO  BLANCO LINO CN
3186846,SMOKING TROP COMB UNIBOTON CN REGU FIT
3188038,PANTALON FORMAL GRIS MED  CN REGU FIT
3222038,CAMISA FOR AZ MED PU BOT CN RAY REFIT
3222137,CAMISA FORM AZUL CLAR PUNO BOTON CN RAY
3222141,CAMISA FORM AZUL CLAR PUNO BOTON CN RAY
3222539,CAMISA FORM AZU PUN BOT CN CUA REGU FIT
3223041,CAMISA FORMAL AZUL CLARO PUNO BOTON CN
3260837,TRAJE NEGRO 2 BOT CN PROMOCION
3261637,TRAJE GRIS OSCURO 2 BOT LAB PROMOCION
3261742,TRAJE GRIS CLARO 2 BOT CN PROMOCION
3261744,TRAJE GRIS CLARO 2 BOT CN PROMOCION
3277142,SACO INFORMAL MORADO LANA CN
3277242,SACO INFORMAL AZUL O LANA CN
3277340,SACO INFORMAL AZUL O LANA CN
3278236,BERMUDA AZUL MEDIO ALGODON CN
3279032,BERMUDA VINO TINTO ALGODON CN
3294703,CAMISA BLANCA ESTAMPADA
3294804,CAMISA INF AZ MED ALGO CN MICRDISEN
32954,CAMISA FOR PB AZUL CLAR TRAVEL C
32957,CAMISA FOR PB BLANCO TRAVEL C
32961,CAMISA FOR BLANCO PB MICROD LAB
32962,CAMISA FOR BLANCO PB MICROD LAB
3296442,CAMISA FORMAL BLANCO PUNO BOTON CN
3296443,CAMISA FORMAL BLANCO PUNO BOTON CN
3296540,CAMISA FORMAL BLANCO PUNO BOTON CN
3296639,TRAJE GRIS OSCURO 2 BOT CN PROMOCION
3311102,CAMISA INFOR ROJO MEDIO ALG PLAT ESTAMPA
3311638,TRAJE AZUL O 2 BOT CN PROMOCION
3311639,TRAJE AZUL O 2 BOT CN PROMOCION
3311640,TRAJE AZUL O 2 BOT CN PROMOCION
3311846,TRAJE GRIS MEDIO 2 BOT CN PROMOCION
33122,CAM INFORMAL CN MICRODIS BLANCO OUTLETS
6182809,CORBATAS UNICOLOR  CN CARLOS NIETO SPAIN
6193009,MEDIA INFORMFUCSIA CASUAL CN ACANALADA
6195232,CINTURON INFORMAL AZUL INDIGO  CN NUBUCK
6372138,CINTURON INFORM VIN TIN CASUAL CN NUBUCK
6372709,BUFANDA UNICOLOR  CN CARLOS NIETO ITALY
6376601,CAMISA INFORMAL MORADO  CN RAYAS
6382109,CORBATAS UNI SEDA CN CN SPAIN
6393441,MOCACIN INFORMAL VINO TINTO GAMUZA CN
6487734,CINTURON FORMAL NEGRO  PLATINO CN PLAT
6489342,ZAPATO INFORMAL GRIS CORDON CN GAMUZA
6489543,BOTIN INFORMAL TABACO CORDON CN GAMUZA
6489642,ZAPATO FORMAL AZUL CORDON CN CUERO
6490142,ZAPATO INFORMAL MIEL CORDON CN CUERO
6490242,BOTIN INFORMAL TABACO GAMUZA CN
6494609,BILLETERA NEGRO  CN CUERO
6560434,PANTALON INFOR NEGRO ALG LAB SLIM FIT
6560534,PANTALON INF VIN TIN ALGO LAB SLI FIT
6560636,PANTALON INFOR KHAKI ALG LAB SLIM FIT
6560936,PANTALON INF GRI CLA ALGO LAB SLI FIT
6561134,PANTALON INF VERDE ALGO CN REFIT
6561730,PANTALON INF VIN TIN ALGO CN REFIT
6603738,TRAJE GRIS 2 BOT CN PROMOCION
6603804,UNDER BOXER CORTO NEGRO  CN
6604640,MOCACIN FORMAL MIEL CUERO PLATINO BORLAS
6629546,SACO INF GRI MED LANA PLAT LONG REFIT
6630240,SACO INFORM AZU LANA PLAT CUAD REGU FIT
6630640,SACO INF AZ MED LANA PLAT CUA REFIT
6631343,MOCACIN INFOR AZUL O GAMUZA CN HERRAJE
6631804,SUETER CERRADO GRIS MEDIO CUELLO V CN
6631904,SUETER CERRADO GRIS CLARO CUELLO V CN
6657402,SUETER ABIER AZ MED CUE NERU CN CREM
6657838,ABRIGO GRIS POLYESTER CN
6658738,CHAQUETA INFORMAL AZUL O CREMALLERA CN
6658740,CHAQUETA INFORMAL AZUL O CREMALLERA CN
6659744,CHAQUETA INF NEG POLYES CN CREM
6660238,CHAQUETA INFORMAL VINO TINTO  CN
6681638,TRAJE GRIS CLARO 2 BOT LAB CUADROS
6681642,TRAJE GRIS CLARO 2 BOT LAB CUADROS
0011243,POLO MANGA CORTA AZUL OSCURO
0011255,BILLETERA NEGRA
0011260,BILLETERA NEGRO CN
0011276,MANCORNA 5056 NIQUEL NEGRO
0011278,MANCORNA 5292 NIQUEL NEGRO
0011281,MANCORNA 5201 NIQUEL NEGRO
0011282,MANCORNAS NIQUEL CUADRADAS
0011297,ABOTONADURA Y MANCORNA 501 BLANCO
0011299,ABOTONADURA Y MANCORNA 503 NEGRO
0013086,MEDIAS GRISES CRUCES MORADAS
0013088,MEDIAS NEGRAS CRUCES BLANCAS
0013335,SACO INF TABACO CUAD CN
0013337,CORBATAS UNICOLOR MEZCLAS
0014152,CAM INFORMAL CN AZ OSC PRINT CIRCULOS MC
0014863,SAC CN VINOTINTO SARTORIAL
0014882,TIRANTAS CN AZUL MEDIO PUNTOS FUCSIA
0015277,PANT INF SLIM BEIGE
0015297,MEDIAS CORTAS AZ MEDIO BOLAS ROJAS
0015305,CAMISA INFORMAL LAB JEAN AZUL CLARO
0016144,SAC CN REG VINO CUADROS
0016146,SAC CNREG AZUL MED CUADROS
0016150,SAC CN REG AZUL MED CUADROS
0016224,CINTURON INF NEGRO ELASTICO
0016226,CINTURON INF VINO TINTO ELASTICO
0016751,PAÑUELO AMARILLO ESTAMPADO
0016780,CAMISA AZUL CUADROS
0016782,CAMISA BLANCA RAYAS AZULES
0017118,TAPABOCAS AZU OSC ESTAM
0017120,TAPABOCAS BLANCO ARABESCOS
0017129,TAPABOCAS MULTICOLOR FLORES/HOJAS
0017135,TAPABOCAS AZUL CUADROS
0017137,CAMISA AZUL CLARA
0017145,CHAQUETA AZUL ACOLCHADA
0017147,CHAQUETA GRIS ACOLCHADA
0017664,CAMISA MORADA ESTAMPADA
0017675,CAMISA AZUL OSCURA CUADROS
0017691,SACO MORADO JASPE LONG
0017725,POLO AZUL
0017730,POLO VINO TINTO
0018228,PANT INF AZUL OSC MICRO BOLS CHINO LAB
0018234,PANT INF GRIS OSC MICRO DISEÑO LAB
0018237,PANT INF CAFE MEDIO BOLS CHINO LAB
0018239,PANT INF VINOTINTO BOLS CHINO LAB
0018243,PANT INF AZUL OSC MICRO DISEÑO LAB
0018245,PANT INF ROSADO OSC MICRO DISEÑO LAB
0018657,MOCASIN FORMAL HEBILLA NEGRO
0018662,CAMISA LILA RAYAS LAB
0018681,CAMISA LINO RAYAS BLANCO/LILA CN
0018697,CAMISA ROJA MICRODISEÑO CN
0018707,PANTALON FORMAL NEGRO CN
0018709,PANTALON FORMAL GRIS OSCURO CN
0018715,PANTALON FORMAL GRIS OSC LAB
0019093,MANCORNA BOLA DE POOL VERDE PROMOCION
0019095,MANCORNA BOLA DE POOL AZUL PROMOCION
0019115,ABOTONADURA SMOKING NEGRA
0019680,SACO AZUL MED MICRODISEÑO ACOLCHADO LAB
0019721,GUAYABERA BLANCA PLATINO
0019733,JEAN GRIS OSCURO - SLIM FIT
0019735,JEAN NEGRO - SLIM FIT
0019741,CAMISA FORMAL AZUL CLARO LAB
0019756,ZAPATO FORMAL CAFE OSCURO DOBLE HEBILLA
0019757,ZAPATO MIEL CORDON FORMAL
0020333,ESPADRILES CORDONES VERDE MEDIO CN
0020335,MOCASIN INFORMAL CAFÉ CN
0020389,SUETER AZUL CLARO CUELLO NERU OUTLET
0020410,SUETER CAMEL CUELLO REDONDO PLATINO
0020885,CAMISA INFORMAL AZUL OSC FLORES LAB
0020887,CAMISA BLANCA ESTAMPADO LAB
0020896,SACO AZUL MED CUADROS LAB
0020940,BOTIN NEGRO INFORMAL CUERO
0021602,TRAJE AZUL OSC CN
0022139,MEDIAS INF GRIS MEDIO  FLORES
0022140,MEDIAS INF MORADA FLORES
11010,SACO LORO PIANA FOUR SEASON
2902003,CAMISA LINO  SALMON  PLATINO CN PLAT
2931240,CAMISA FORM DUO PUN BOT CN RAY MOR Y BLA
2931242,CAMISA FORM DUO PUN BOT CN RAY MOR Y BLA
3128137,CAMISA FOR AZUL O PUNO BOTON LAB PUNTOS
3128833,PANTALON FOR AZUL O  CN DOT TIENDAS
3133742,CAMISA FORM DUO PUN BOT CN RAY RO Y BLA
3136032,PANTALON INFORMAL GRIS CLAR  CN REGU FIT
3136034,PANTALON INFORMAL GRIS CLAR  CN REGU FIT
3137339,CAMISA FOR DUO P.B CN CUAD BCO Y AZUL
3192739,TRAJE NEGRO 2 BOT CN REGULAR PROMOCION
3193534,PANTALON INF AZ CLA ALGO LAB SLI FIT
3193536,PANTALON INF AZ CLA ALGO LAB SLI FIT
3195139,CAMISA FORM AZUL CLA PUN BOT CN REGU FIT
3226341,CAMISA FOR AZ MED PU BOT CN CUA REFIT
3226438,CAMISA FOR AZ MED PU BOT PLAT REFIT
3226539,CAMISA FOR AZ CLA PU BOT PLAT REFIT
3226638,CAMISA FOR BLAN PU BOT PLAT RAY REFIT
3226741,CAMISA FOR BLAN PU BOT PLAT RAY REFIT
3227039,CAMISA FORM BLANCO PUN BOT LAB SLIM FIT
3262303,GUAYABERA BLANCO LINO PLATINO
3262603,GUAYABERA BLANCO LINO PLATINO
3262702,GUAYABERA BLANCO LINO PLATINO
3262902,CAMISA INF BLAN ALGO CN PUTOS AZES
3264140,SACO INFORMAL NEGRO LANA CN
3264340,SACO INFORMAL CAFE OSC LANA CN
3264502,CAMISA INF BLAN ALGO CN ÉSTAM PTOS
3264802,CAMISA INF AZ MED ALG CN ESTA CABA MAR
3280104,CAMISA INFOR AZUL CLARO ALGODON PLATINO
3280603,CAMISA INF MUL ALGO CN ESTAM
3280802,CAMISA INF AZ MED ALGO PLAT ÉSTAM RAY
3296839,TRAJE AZUL O 2 BOT CN PROMOCION
3296840,TRAJE AZUL O 2 BOT CN PROMOCION
3296938,TRAJE AZUL O 2 BOT LAB PROMOCION
3296941,TRAJE AZUL O 2 BOT LAB PROMOCION
3297037,TRAJE GRIS CLARO 2 BOT LAB PROMOCION
3314104,CAMISA INFORMAL BLANCO ALGODON CN
3314203,CAMISA VINO TINTO
3314303,CAMISA INF AZUL TURQ ALG PLAT RAY AZULES
3314704,CAMISA INF MULTICOLOR ALG CN CUAD
3315103,CAMISA INFORMAL AZUL O ALGODON CN RAYAS
44004,CHALECO DYSATEX TRABALDO TOGNA
6259642,ZAPATO FORMAL NEGRO CEREMONIA CN CHAROL
6414542,ZAPATO INFORMAL NEGRO  LAB DOBLE HEBILLA
6511342,ESPADRILLAS CAFE  CN
6512237,CAMISA FORM GRIS PUNO BOTON PLAT CN PLAT
6519102,JUEGO (FAJA Y CORBATIN NEGRO  CN
6523609,CORBATAS UNI SEDA CN TEJIDO DE PUNTO
6564702,JUEGO (FAJA Y CORBATIN NEGRO  CN
6566144,SACO INFORM BEIGE POLYESTER CN REGU FIT
6566340,SACO INF AZ MED POLYES CN REFIT
6566940,SACO INF AZ CLA VISCOSA CN LONG REFIT
6568509,BILLETERA NEGRO  CN
6570034,PANTALON FORMAL CAFE  PLATINO CUADROS
6611830,PANTALON INF GRI OSC ALGO LAB SLI FIT
6612032,PANTALON INFORM AZU ALGODON LAB SLIM FIT
6612536,PANTALON INFORMAL AZUL O  CN REGULAR FIT
6615632,PANTALON INF AZUL O ALG PLAT REGFIT
6617342,ZAPATO FOR NEG CUE PLAT DOB HEB
6617602,JUEGO (FAJA Y CORBA NEGRO  CN CN
6638834,CINTURON INFORMAL BEIGE CUERO CN
6662639,ZAPATO FORMAL NEGRO CUERO CN CORDON
6663503,ABRIGO AZUL O  CN IMPERMEHABLE
6663803,ABRIGO AZUL O  CN ACOLCH DOBLE PECHERA
6664042,ZAPATO FORMAL NEGRO CUERO CN CORDON
6685504,UNDER BOXER LARGO NEGRO ALGODON CN GAFAS
6685803,UNDER BOXER LARGO BLANCO ALGODON CN
6686640,ZAPATO INFORMAL AZUL O CUERO PLAT CORDON
6686642,ZAPATO INFORMAL AZUL O CUERO PLAT CORDON
6686744,ZAPATO INFORM CHOC CUERO PLAT CORDON
6686942,ZAPATO FORMAL MIEL CUERO PLATINO CORDON
6686944,ZAPATO FORMAL MIEL CUERO PLATINO CORDON
0011224,CAMISA AZUL RAYAS
0011226,MOCASÍN VINO TINTO CUERO
0012707,CAMISA ATLANTIC CODIGO 5
0012710,TRAJE CONFECCION SARTORIAL
0012895,ESPADRILLAS NOBUCK AZUL OSC
0012898,ESPADRILLAS NOBUCK   MIEL
0012901,SANDALIAS  NEGRO REATA ROJO
0013896,SUETER ABI AZUL MED CUELLO NEHRU
0013939,CAMISA FORMAL LAB BLANCO MICROD OUTLETS
0013944,CAMISA FORMAL LAB AZUL MED MICRO OUTLETS
0013988,BLAZER LAB 2 BT  AZUL MED
0014015,SAC CN AZUL OSC MICRO
0014507,SOMBRERO BLANCO CINTA NEGRO/BEIGE
0014509,SOMBRERO BLANCO CINTA AZUL/VERDE/AZUL
0014515,CAMISA GUAYABERA PLATINO BLANCO BORDADO
0014550,CAM FORMAL CN EC UNICOLOR AZUL MEDIO
0014561,SACO CN REG AZUL MED MICRO
0015088,MEDIAS CORTAS ROJAS CALAVERAS AZULES
0015092,MEDIAS TURQUESA ACANALADAS
0015094,MEDIAS CORTAS INFORMAL CANAL NARANJA
0015883,TRAJE  REG AZUL OSC CUADROS
0015890,TRAJE ESENCIAL LONG  GRIS MED JASPE
0016498,PANTALON INF SLIM KHAKI
0016500,PANTALON INF SLIM GRIS OSC
0016523,PANTALON INF SLIM VINO TINTO
0016525,PANTALON INF SLIM GRIS OSC
0016531,PANTALON INF SLIM GRIS OSC
0017011,BILLETERA AZUL CONTRASTE AZUL REY
0017028,CAMISA MORADA CUADROS
0017032,TAPABOCAS AZUL OSC CUADROS
0017043,ZAPATO FORMAL NEGRO CUERON CN
0017493,MOCASIN COGNAC CN
0017526,ESPADRILLES COLOR NEGRO
0017541,CAMISA BLANCA DOBLE USO
0017543,CAMISA AZUL DOBLE USO
0018135,TRAJE AZUL OSC CUADROS LAB
0018554,ZAPATO NEGRO CORDON TEXTIL
0018556,ZAPATO MIEL CORDON TEXTIL
0018565,CAMISA BLANCA A RAYAS MANGA CORTA CN
0018580,CAMISA FORMAL BLANCA PLATINO SLIM
0018586,CAMISA HOJAS ESTAMPADA MANGA CORTA CN
0018631,CAMISA LINO BLANCA PLATINO
0019067,MANCORNAS HUELLAS NEGRAS PROMOCION
0019079,MANCORNA 5624 PLATA
0019642,SUETER GRIS CLARO CUELLO TORTUGA TRENZA
0019657,CAMISA FORMAL BLANCO DOBLE USO LAB
0019659,SUETER CUELLO TORTUGA BLANCO CN
0019667,SUETER CUELLO V VINOTINTO CN
0019669,SACO GRIS MEDIO JASPEADO CN
0020154,CAMISA FORMAL ROSADO ESENCIAL REGULAR
0020156,SACO AZUL OSCURO TRAVEL COLLECTION
0020170,GAFAS DE SOL REDONDA CAFE VERDE
0020207,SACO AZUL OSC  DESESTRUCTURADO CN
0020209,SACO 2 BT AZUL OSC CON CODERAS CN
0020223,POLO AZUL MEDIA CN
0020231,POLO VERDE MEDIO CN
0020263,TRAJE 2BT NEGRO LAB
0021368,CAMISA FORMAL GRIS OSC CN
0021391,CAMISA INFORMAL  MORADO CN
0021402,CINTURON DOBLEFAZ FORMAL CUERO AZUL OSC
0021982,GUAYABERA AZUL CLARA PLATINO
0021993,CAMISA SMOKING CUELLO PAJARITO BLANCA CN
0023189,CAMISA INF ESTAM FUCSIA SR. KHALLIL
2002,SACO OCEAN REGATA DORMEUIL
3027637,CAMISA FOR AZ IND PU BOT CN RAY BLAN
3028644,TRAJE LINO BEIG2 BOT PLAT LONG PLAT C.N
3029401,CHAQUETA INFORMAL AZUL  LAB CUADROS
3036303,CAMISA LINO  BLANCO  CN
3037738,PANTALON LINO AZUL O  PLATINO CN PLAT
3044501,CHAQUETA INFORMAL AZUL  LAB
3156640,PANTALON INFORM AZU ALGODON CN REGU FIT
3159332,BERMUDA AZUL O ALGODON LAB SLIM FIT
3160339,CAMISA FORM BLANCO PUN BOT CN REGU FIT
3160939,CAMISA FORM AZUL CLA PUN BOT CN REGU FIT
3212739,CAMISA FOR AZ MED PU BOT CNDIS REFIT
3212741,CAMISA FOR AZ MED PU BOT CNDIS REFIT
3213239,CAMISA FORM BLANCO PUN MAN PLAT REGU FIT
3213340,CAMISA FOR AZ CLA PU MAN PLAT REFIT
3213343,CAMISA FOR AZ CLA PU MAN PLAT REFIT
3213438,CAMISA FOR AZ MED PU BOT PLAT REFIT
3213441,CAMISA FOR AZ MED PU BOT PLAT REFIT
3232802,CAMISA INF AZ MED ALGO CN ESTAM
3233102,CAMISA INF AZ MED ALGO PLAT DISE CUA
3233302,CAMISA INF DUO ALGO CN RAY AZU Y BLAN
3233503,CAMISA INF BLAN ALGO CN ESTAM FLOR
3233802,CAMISA INFORM BLANCO ALGODON CN ESTAMPA
3234239,CAMISA FORM BLANCO PUN BOT CN REGU FIT
3234639,CAMISA FOR AZ MED PU BOT LABDIS SLI FIT
3235339,TRAJE GRIS MEDIO 2 BOT CN PROMOCION
3235940,SACO INFORM AZU ALGODON LAB SLIM FIT
3235942,SACO INFORM AZU ALGODON LAB SLIM FIT
3269538,SACO INFORMAL VINO TINTO LANA CN CUAD
3270303,CAMISA INF GRI MED ALGO CN ÉSTAM ESTR
3271139,CAMISA FORMAL BLANCO PUNO BOTON CN
3284303,CAMISA LINO  AZUL MED  CN ESTAMP ROMBOS
3301141,CAMISA FOR AZ CLA PU BOT PLAT MICRDISEN
33016,CAMISA FOR BLANCO PB CN
33017,CAMISA FOR BLANCO PB MICRO CN
3302338,SACO INFORMAL CAFE LANA CN JASPEADO
33194,CAM FORMAL CN AZUL CLARO MICRODISEÑO CU
33196,CAM FORMAL CN AZUL CLARO MICROD ZIG-ZAG
33202,CAMISA AZUL CLARO
33235,BLAZER AZUL OSC  2 BOT OUTLET
33247,PANT DE BAÑO AQUA NARANJA ESTAMP PECES
33249,PANTALONETA DE BAÑO VERDE ESTAMPADA
48001,TRAJE DYSATEX  ZIGNONE 684
6298238,MOCACIN INFORMAL ARENA GAMUZA CN HEBILLA
6316242,CHAQUETA INFORMAL AZUL NYLON CN
6316244,CHAQUETA INFORMAL AZUL NYLON CN
6418309,CORBATAS UNICOLOR  CN PITILLO
6423338,ZAPATO INFORMAL ARENA CORDON CN GAMUZA
6424236,CINTURON INF CHOC GAM CN MADE IN PORT
